kinase	kinase_group	foreground_set_hits	foreground_set_size	background_set_hits	background_set_size	enrichment_value	enrichment_value_log2	p_value	adjusted_p_value	p_value_log10_abs	adjusted_p_value_log10_abs
GRK4	AGC	0	29	387	6188	0.27568386349460927	-1.8589132698229471	0.9999999999801483	1.0000000000188458	8.621473282058584e-12	8.184632939547247e-12
AlphaK3	Alpha	0	29	683	6188	0.1562074014237391	-2.6784652819686268	0.9999999999801967	1.0000000000188458	8.600450943287305e-12	8.184632939547247e-12
PRP4	CMGC	0	29	360	6188	0.29636015325670495	-1.7545766100082114	0.9999999999813326	1.0000000000188458	8.107149227762483e-12	8.184632939547247e-12
TAO2	STE	0	29	201	6188	0.5307943043403671	-0.9137752048574651	0.9999999999817973	1.0000000000188458	7.905315489009158e-12	8.184632939547247e-12
ANKRD3	TKL	0	29	293	6188	0.3641285159468048	-1.4574803681007842	0.9999999999825739	1.0000000000188458	7.568041957576138e-12	8.184632939547247e-12
CDK19	CMGC	0	29	383	6188	0.27856306833528405	-1.8439240956034937	0.999999999983081	1.0000000000188458	7.347837780584913e-12	8.184632939547247e-12
LKB1	CAMK	0	29	383	6188	0.27856306833528405	-1.8439240956034937	0.999999999983081	1.0000000000188458	7.347837780584913e-12	8.184632939547247e-12
MYO3B	STE	0	29	295	6188	0.3616598480420807	-1.46729465792774	0.999999999983511	1.0000000000188458	7.16109576668375e-12	8.184632939547247e-12
PBK	Other	0	29	428	6188	0.24927489526264904	-2.0041905000796834	0.9999999999841135	1.0000000000188458	6.8994255086302795e-12	8.184632939547247e-12
CHAK1	Alpha	0	29	272	6188	0.3922413793103448	-1.350186354928876	0.9999999999843566	1.0000000000188458	6.79383165104103e-12	8.184632939547247e-12
ACVR2B	TKL	0	29	572	6188	0.1865203761755486	-2.422594850456926	0.9999999999844802	1.0000000000188458	6.740166827526503e-12	8.184632939547247e-12
HIPK4	CMGC	0	29	335	6188	0.31847658260422024	-1.6507407990236713	0.9999999999847456	1.0000000000188458	6.624881478898284e-12	8.184632939547247e-12
LOK	STE	0	29	170	6188	0.6275862068965518	-0.6721144498162381	0.9999999999848619	1.0000000000188458	6.5743989360234524e-12	8.184632939547247e-12
JNK1	CMGC	0	29	403	6188	0.2647385984427141	-1.9173595422065042	0.9999999999850485	1.0000000000188458	6.493347212458429e-12	8.184632939547247e-12
MARK3	CAMK	0	29	369	6188	0.2891318568358097	-1.7902005197389328	0.9999999999856055	1.0000000000188458	6.251445667469988e-12	8.184632939547247e-12
P38B	CMGC	0	29	395	6188	0.2701003928415539	-1.8884323567430017	0.9999999999856587	1.0000000000188458	6.228350024645705e-12	8.184632939547247e-12
AAK1	Other	0	29	517	6188	0.20636296938571333	-2.2767439839934713	0.9999999999857988	1.0000000000188458	6.167500961505324e-12	8.184632939547247e-12
PAK3	STE	0	29	142	6188	0.751335599805731	-0.41247063318321847	0.9999999999858259	1.0000000000188458	6.1557361664132065e-12	8.184632939547247e-12
MAP3K15	STE	0	29	358	6188	0.29801579657098826	-1.746539290942793	0.9999999999860915	1.0000000000188458	6.040402601411814e-12	8.184632939547247e-12
STK33	CAMK	0	29	268	6188	0.39809572825527534	-1.3288127041363091	0.9999999999860995	1.0000000000188458	6.036931022532174e-12	8.184632939547247e-12
MYO3A	STE	0	29	337	6188	0.31658651386472936	-1.6593282948603951	0.9999999999862206	1.0000000000188458	5.984326959230964e-12	8.184632939547247e-12
OSR1	STE	0	29	337	6188	0.31658651386472936	-1.6593282948603951	0.9999999999862206	1.0000000000188458	5.984326959230964e-12	8.184632939547247e-12
P38D	CMGC	0	29	405	6188	0.2634312473392933	-1.9245016114505236	0.9999999999862521	1.0000000000188458	5.970633509205719e-12	8.184632939547247e-12
NEK5	Other	0	29	336	6188	0.3175287356321839	-1.6550409364572967	0.9999999999863897	1.0000000000188458	5.910893422651926e-12	8.184632939547247e-12
TLK2	Other	0	29	323	6188	0.33030852994555354	-1.5981138683724612	0.9999999999866961	1.0000000000188458	5.777816232265781e-12	8.184632939547247e-12
RIPK1	TKL	0	29	269	6188	0.39661581848480965	-1.3341858762351606	0.9999999999868346	1.0000000000188458	5.71764219835206e-12	8.184632939547247e-12
